REGION,TECHNOLOGY,YEAR,VALUE,EMISSION,MODE_OF_OPERATION,TIMESLICE,FUEL,STORAGE,REGION.1
RE1,PWRDIST_A,2050.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2051.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2052.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2053.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2054.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2055.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2056.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2057.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2058.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2059.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2060.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2061.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2062.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2063.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2064.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2065.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2066.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2067.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2068.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2069.0,8.55512514225764,,,,,,
RE1,PWRDIST_A,2070.0,8.55512514225764,,,,,,
RE1,MINBIO_A,2015.0,4.0586832,,,,,,
RE1,MINBIO_A,2016.0,4.0586832,,,,,,
RE1,MINBIO_A,2017.0,4.0586832,,,,,,
RE1,MINBIO_A,2018.0,4.0586832,,,,,,
RE1,MINBIO_A,2019.0,4.0586832,,,,,,
RE1,MINBIO_A,2020.0,4.0586832,,,,,,
RE1,MINBIO_A,2021.0,4.0586832,,,,,,
RE1,MINBIO_A,2022.0,4.0586832,,,,,,
RE1,MINBIO_A,2023.0,4.0586832,,,,,,
RE1,MINBIO_A,2024.0,4.0586832,,,,,,
RE1,MINBIO_A,2025.0,4.0586832,,,,,,
RE1,MINBIO_A,2026.0,4.0586832,,,,,,
RE1,MINBIO_A,2027.0,4.0586832,,,,,,
RE1,MINBIO_A,2028.0,4.0586832,,,,,,
RE1,MINBIO_A,2029.0,4.0586832,,,,,,
RE1,MINBIO_A,2030.0,4.0586832,,,,,,
RE1,MINHYD_A,2015.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2016.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2017.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2018.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2019.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2020.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2021.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2022.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2023.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2024.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2025.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2026.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2027.0,10.5759589064383,,,,,,
RE1,MINHYD_A,2028.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2029.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2030.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2031.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2032.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2033.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2034.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2035.0,5.72076245405047,,,,,,
RE1,MINHYD_A,2036.0,5.80723996064947,,,,,,
RE1,MINHYD_A,2037.0,2.24659648112717,,,,,,
RE1,MINHYD_A,2038.0,2.24659648112717,,,,,,
RE1,MINHYD_A,2039.0,2.24659648112717,,,,,,
RE1,MINGEO_A,2015.0,31.3978468760043,,,,,,
RE1,MINGEO_A,2016.0,31.3978468760044,,,,,,
RE1,MINGEO_A,2017.0,32.473764073597,,,,,,
RE1,MINGEO_A,2018.0,35.6987276646182,,,,,,
RE1,MINGEO_A,2019.0,39.9642053347221,,,,,,
RE1,MINGEO_A,2020.0,43.1397142946094,,,,,,
RE1,MINGEO_A,2021.0,48.0079818025789,,,,,,
RE1,MINGEO_A,2022.0,51.1191116858597,,,,,,
RE1,MINGEO_A,2023.0,52.9796621233189,,,,,,
RE1,MINGEO_A,2024.0,52.9796621233189,,,,,,
RE1,MINGEO_A,2025.0,52.9796621233189,,,,,,
RE1,MINGEO_A,2026.0,63.1764126232702,,,,,,
RE1,MINGEO_A,2027.0,68.0597146669619,,,,,,
RE1,MINGEO_A,2028.0,76.7802393320748,,,,,,
RE1,MINGEO_A,2029.0,82.329400049451,,,,,,
RE1,MINGEO_A,2030.0,88.2433107083854,,,,,,
RE1,MINGEO_A,2031.0,94.46518020126,,,,,,
RE1,MINGEO_A,2032.0,101.790262614124,,,,,,
RE1,MINGEO_A,2033.0,109.662788473235,,,,,,
RE1,MINGEO_A,2034.0,118.119119916581,,,,,,
RE1,MINGEO_A,2035.0,130.155420591244,,,,,,
RE1,MINGEO_A,2036.0,140.709158637134,,,,,,
RE1,MINGEO_A,2037.0,154.35859369092,,,,,,
RE1,MINGEO_A,2038.0,166.004159952388,,,,,,
RE1,MINGEO_A,2039.0,178.49907654324,,,,,,
RE1,MINGEO_A,2040.0,190.67290974666,,,,,,
RE1,MINGEO_A,2041.0,201.03698450061,,,,,,
RE1,MINGEO_A,2042.0,199.961067303017,,,,,,
RE1,MINGEO_A,2043.0,196.736103711996,,,,,,
RE1,MINGEO_A,2044.0,192.470626041892,,,,,,
RE1,MINGEO_A,2045.0,189.295117082005,,,,,,
RE1,MINGEO_A,2046.0,184.426849574035,,,,,,
RE1,MINGEO_A,2047.0,181.315719690754,,,,,,
RE1,MINGEO_A,2048.0,179.455169253295,,,,,,
RE1,MINGEO_A,2049.0,179.455169253295,,,,,,
RE1,MINGEO_A,2050.0,179.455169253295,,,,,,
RE1,PWRGEO_A,2015.0,0.584142763905482,,,,,,
RE1,PWRGEO_A,2016.0,0.584142763905482,,,,,,
RE1,PWRGEO_A,2017.0,0.618517686351243,,,,,,
RE1,PWRGEO_A,2018.0,0.721553378670131,,,,,,
RE1,PWRGEO_A,2019.0,0.857832884594954,,,,,,
