REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE2","S102","ELC003_B",2020,5.33761926699131
"RE2","S102","ELC003_B",2021,5.62640366783964
"RE2","S102","ELC003_B",2022,5.93568479493937
"RE2","S102","ELC003_B",2023,6.26660535878244
"RE2","S102","ELC003_B",2024,6.62040725173236
"RE2","S102","ELC003_B",2025,6.99843020150412
"RE2","S102","ELC003_B",2026,7.48609059517548
"RE2","S102","ELC003_B",2027,8.00734741266468
"RE2","S102","ELC003_B",2028,8.56442628321289
"RE2","S102","ELC003_B",2029,9.15968328138492
"RE2","S102","ELC003_B",2030,9.79564023959281
"RE2","S102","ELC003_B",2031,10.4971704208953
"RE2","S102","ELC003_B",2032,11.2532312666761
"RE2","S102","ELC003_B",2033,12.067543031259
"RE2","S102","ELC003_B",2034,12.9441493593444
"RE2","S102","ELC003_B",2035,14.1851884272276
"RE2","S102","ELC003_B",2036,15.2821607157132
"RE2","S102","ELC003_B",2037,16.4618128711128
"RE2","S102","ELC003_B",2038,17.7304359005556
"RE2","S102","ELC003_B",2039,19.0948099607532
"RE2","S102","ELC003_B",2040,20.5622315329764
"RE2","S102","ELC003_B",2041,21.7712054883432
"RE2","S102","ELC003_B",2042,23.0510925456696
"RE2","S102","ELC003_B",2043,24.4060368889176
"RE2","S102","ELC003_B",2044,25.8404544518172
"RE2","S102","ELC003_B",2045,27.3589785679128
"RE2","S102","ELC003_B",2046,28.9976568439296
"RE2","S102","ELC003_B",2047,30.7322084380968
"RE2","S102","ELC003_B",2048,32.5682449831236
"RE2","S102","ELC003_B",2049,34.5117042114408
"RE2","S102","ELC003_B",2050,36.5688635426892
"RE2","S103","ELC003_B",2015,3.09740653632696
"RE2","S103","ELC003_B",2016,3.2354101311552
"RE2","S103","ELC003_B",2017,3.49304319367728
"RE2","S103","ELC003_B",2018,3.75067517025804
"RE2","S103","ELC003_B",2019,4.00830823278012
"RE2","S103","ELC003_B",2020,4.26594021044682
"RE2","S103","ELC003_B",2021,4.49674291968972
"RE2","S103","ELC003_B",2022,4.74392705374482
"RE2","S103","ELC003_B",2023,5.00840589143412
"RE2","S103","ELC003_B",2024,5.29117197986628
"RE2","S103","ELC003_B",2025,5.59329605826876
"RE2","S103","ELC003_B",2026,5.98304474178204
"RE2","S103","ELC003_B",2027,6.39964441037364
