REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","PWRTRN_A","ELC002_A",2050,290.667206325338
"RE1","PWRDIST_A","ELC003_A",2015,28.5686875878824
"RE1","PWRDIST_A","ELC003_A",2016,29.7936002383488
"RE1","PWRDIST_A","ELC003_A",2017,32.1660402573283
"RE1","PWRDIST_A","ELC003_A",2018,34.5384702763078
"RE1","PWRDIST_A","ELC003_A",2019,36.9109102952873
"RE1","PWRDIST_A","ELC003_A",2020,39.2833403242667
"RE1","PWRDIST_A","ELC003_A",2021,41.4087103312697
"RE1","PWRDIST_A","ELC003_A",2022,43.6849303394794
"RE1","PWRDIST_A","ELC003_A",2023,46.1204103689633
"RE1","PWRDIST_A","ELC003_A",2024,48.7242903897943
"RE1","PWRDIST_A","ELC003_A",2025,51.5064304120514
"RE1","PWRDIST_A","ELC003_A",2026,55.0954704407638
"RE1","PWRDIST_A","ELC003_A",2027,58.9317704714542
"RE1","PWRDIST_A","ELC003_A",2028,63.0317104942537
"RE1","PWRDIST_A","ELC003_A",2029,67.412630539301
"RE1","PWRDIST_A","ELC003_A",2030,72.0930905667447
"RE1","PWRDIST_A","ELC003_A",2031,77.2561506280492
"RE1","PWRDIST_A","ELC003_A",2032,82.8205406725643
"RE1","PWRDIST_A","ELC003_A",2033,88.8136407005091
"RE1","PWRDIST_A","ELC003_A",2034,95.2652107721217
"RE1","PWRDIST_A","ELC003_A",2035,104.398900835191
"RE1","PWRDIST_A","ELC003_A",2036,112.472300899778
"RE1","PWRDIST_A","ELC003_A",2037,121.154200969234
"RE1","PWRDIST_A","ELC003_A",2038,130.490901043927
"RE1","PWRDIST_A","ELC003_A",2039,140.532301124258
"RE1","PWRDIST_A","ELC003_A",2040,151.332101210657
"RE1","PWRDIST_A","ELC003_A",2041,160.229801281838
"RE1","PWRDIST_A","ELC003_A",2042,169.649401357195
"RE1","PWRDIST_A","ELC003_A",2043,179.621401436971
"RE1","PWRDIST_A","ELC003_A",2044,190.178301521426
"RE1","PWRDIST_A","ELC003_A",2045,201.354201610834
"RE1","PWRDIST_A","ELC003_A",2046,213.414401707315
"RE1","PWRDIST_A","ELC003_A",2047,226.180201809442
"RE1","PWRDIST_A","ELC003_A",2048,239.692901917543
"RE1","PWRDIST_A","ELC003_A",2049,253.99620203197
"RE1","PWRDIST_A","ELC003_A",2050,269.13630215309
"RE1","MINBIO_A","BIO_A",2015,2.536677
"RE1","MINBIO_A","BIO_A",2016,2.84130223368762
"RE1","MINBIO_A","BIO_A",2017,3.5513478
"RE1","MINBIO_A","BIO_A",2018,3.5513478
"RE1","MINBIO_A","BIO_A",2019,3.24939548369693
"RE1","MINBIO_A","BIO_A",2020,3.22245487365141
"RE1","MINBIO_A","BIO_A",2021,2.536677
"RE1","MINBIO_A","BIO_A",2022,2.536677
"RE1","MINBIO_A","BIO_A",2023,2.69329951232197
"RE1","MINBIO_A","BIO_A",2024,3.5513478
"RE1","MINBIO_A","BIO_A",2025,3.82244960342191
"RE1","MINBIO_A","BIO_A",2026,3.53554119189669
"RE1","MINBIO_A","BIO_A",2027,3.0440124
"RE1","MINBIO_A","BIO_A",2028,3.19245381817589
"RE1","MINBIO_A","BIO_A",2029,3.22549193397916
"RE1","MINBIO_A","BIO_A",2030,2.80357322315834
"RE1","PWRBIO_A","ELC001_A",2015,0.88695
"RE1","PWRBIO_A","ELC001_A",2016,0.993462319471194
"RE1","PWRBIO_A","ELC001_A",2017,1.24173
"RE1","PWRBIO_A","ELC001_A",2018,1.24173
"RE1","PWRBIO_A","ELC001_A",2019,1.1361522670269
"RE1","PWRBIO_A","ELC001_A",2020,1.12673247330469
"RE1","PWRBIO_A","ELC001_A",2021,0.88695
"RE1","PWRBIO_A","ELC001_A",2022,0.88695
"RE1","PWRBIO_A","ELC001_A",2023,0.941713116196492
"RE1","PWRBIO_A","ELC001_A",2024,1.24173
"RE1","PWRBIO_A","ELC001_A",2025,1.33652084035731
"RE1","PWRBIO_A","ELC001_A",2026,1.23620321394989
"RE1","PWRBIO_A","ELC001_A",2027,1.06434
"RE1","PWRBIO_A","ELC001_A",2028,1.11624259376779
"RE1","PWRBIO_A","ELC001_A",2029,1.1277943825102
"RE1","PWRBIO_A","ELC001_A",2030,0.980270357747671
"RE1","MINHYD_A","HYD_A",2015,7.98984820128175
"RE1","MINHYD_A","HYD_A",2016,7.98984820128175
"RE1","MINHYD_A","HYD_A",2017,7.98984820128175
"RE1","MINHYD_A","HYD_A",2018,9.07498867055281
"RE1","MINHYD_A","HYD_A",2019,7.98984820128175
"RE1","MINHYD_A","HYD_A",2020,7.76635365013479
"RE1","MINHYD_A","HYD_A",2021,7.76635365013479
"RE1","MINHYD_A","HYD_A",2022,7.76635365013479
"RE1","MINHYD_A","HYD_A",2023,7.76635365013479
"RE1","MINHYD_A","HYD_A",2024,7.98984820128175
"RE1","MINHYD_A","HYD_A",2025,7.98984820128175
"RE1","MINHYD_A","HYD_A",2026,7.98984820128175
"RE1","MINHYD_A","HYD_A",2027,7.98984820128175
"RE1","MINHYD_A","HYD_A",2028,4.38721123677595
"RE1","MINHYD_A","HYD_A",2029,4.38721123677595
"RE1","MINHYD_A","HYD_A",2030,4.38721123677595
"RE1","MINHYD_A","HYD_A",2031,4.38721123677595
"RE1","MINHYD_A","HYD_A",2032,4.38721123677595
"RE1","MINHYD_A","HYD_A",2033,4.26449078183754
"RE1","MINHYD_A","HYD_A",2034,4.38721123677595
"RE1","MINHYD_A","HYD_A",2035,4.34397248347645
"RE1","MINHYD_A","HYD_A",2036,4.38721123677595
"RE1","MINHYD_A","HYD_A",2037,1.69724230327829
"RE1","MINHYD_A","HYD_A",2038,1.69724230327829
"RE1","MINHYD_A","HYD_A",2039,1.69724230327829
"RE1","PWRHYD_A","ELC001_A",2015,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2016,7.50381532175398
"RE1","PWRHYD_A","ELC001_A",2017,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2018,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2019,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2020,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2021,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2022,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2023,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2024,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2025,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2026,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2027,7.54285909898783
"RE1","PWRHYD_A","ELC001_A",2028,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2029,3.88933398662429
"RE1","PWRHYD_A","ELC001_A",2030,3.88050812960976
"RE1","PWRHYD_A","ELC001_A",2031,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2032,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2033,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2034,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2035,4.12015095024938
"RE1","PWRHYD_A","ELC001_A",2036,4.14177032689913
"RE1","PWRHYD_A","ELC001_A",2037,1.60229071040623
"RE1","PWRHYD_A","ELC001_A",2038,1.60229071040623
"RE1","PWRHYD_A","ELC001_A",2039,1.60229071040623
"RE1","MINGEO_A","GEO_A",2015,30.315858434073
"RE1","MINGEO_A","GEO_A",2016,30.7776751831535
"RE1","MINGEO_A","GEO_A",2017,32.1016031387295
"RE1","MINGEO_A","GEO_A",2018,35.3041415964497
"RE1","MINGEO_A","GEO_A",2019,39.4153281017013
"RE1","MINGEO_A","GEO_A",2020,42.5709869125032
"RE1","MINGEO_A","GEO_A",2021,46.9421111322509
"RE1","MINGEO_A","GEO_A",2022,50.0733238372596
"RE1","MINGEO_A","GEO_A",2023,52.2555087130376
"RE1","MINGEO_A","GEO_A",2024,52.6632948329894
"RE1","MINGEO_A","GEO_A",2025,52.9796621233189
"RE1","MINGEO_A","GEO_A",2026,62.5842333278885
"RE1","MINGEO_A","GEO_A",2027,67.458425636905
"RE1","MINGEO_A","GEO_A",2028,76.4750457918599
"RE1","MINGEO_A","GEO_A",2029,82.329400049451
"RE1","MINGEO_A","GEO_A",2030,88.2433107083855
"RE1","MINGEO_A","GEO_A",2031,94.0805596337677
"RE1","MINGEO_A","GEO_A",2032,101.369242318848
"RE1","MINGEO_A","GEO_A",2033,109.202648099565
"RE1","MINGEO_A","GEO_A",2034,117.616958423525
"RE1","MINGEO_A","GEO_A",2035,129.620472651572
"RE1","MINGEO_A","GEO_A",2036,140.079066655334
"RE1","MINGEO_A","GEO_A",2037,153.632873418555
"RE1","MINGEO_A","GEO_A",2038,165.223090179095
"RE1","MINGEO_A","GEO_A",2039,177.004062808746
"RE1","MINGEO_A","GEO_A",2040,188.543770456821
"RE1","MINGEO_A","GEO_A",2041,198.784809602302
"RE1","MINGEO_A","GEO_A",2042,199.117517371183
"RE1","MINGEO_A","GEO_A",2043,195.646377358378
"RE1","MINGEO_A","GEO_A",2044,192.470626041892
"RE1","MINGEO_A","GEO_A",2045,189.295117082005
"RE1","MINGEO_A","GEO_A",2046,184.426849574035
"RE1","MINGEO_A","GEO_A",2047,181.315719690754
"RE1","MINGEO_A","GEO_A",2048,179.455169253295
"RE1","MINGEO_A","GEO_A",2049,179.455169253295
"RE1","MINGEO_A","GEO_A",2050,179.455169253295
"RE1","PWRGEO_A","ELC001_A",2015,24.2526867472584
"RE1","PWRGEO_A","ELC001_A",2016,24.6221401465228
"RE1","PWRGEO_A","ELC001_A",2017,25.6812825109836
"RE1","PWRGEO_A","ELC001_A",2018,28.2433132771598
"RE1","PWRGEO_A","ELC001_A",2019,31.532262481361
