REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S101","PWRGEO_A",1,2038,132.80332796191
"RE1","S101","PWRGEO_A",1,2039,142.799261234592
"RE1","S101","PWRGEO_A",1,2040,152.538327797328
"RE1","S101","PWRGEO_A",1,2041,160.829587600488
"RE1","S101","PWRGEO_A",1,2042,159.968853842414
"RE1","S101","PWRGEO_A",1,2043,157.388882969597
"RE1","S101","PWRGEO_A",1,2044,153.976500833513
"RE1","S101","PWRGEO_A",1,2045,151.436093665604
"RE1","S101","PWRGEO_A",1,2046,147.541479659228
"RE1","S101","PWRGEO_A",1,2047,145.052575752603
"RE1","S101","PWRGEO_A",1,2048,143.564135402636
"RE1","S101","PWRGEO_A",1,2049,143.564135402636
"RE1","S101","PWRGEO_A",1,2050,143.564135402636
"RE1","S102","MINCOA_A",1,2016,6.16617793556503
"RE1","S102","MINCOA_A",1,2017,8.60445232268152
"RE1","S102","MINCOA_A",1,2018,10.0992173179094
"RE1","S102","MINCOA_A",1,2019,10.0992173179094
"RE1","S102","MINCOA_A",1,2020,10.0992173179094
"RE1","S102","MINCOA_A",1,2021,10.0992173179094
"RE1","S102","MINCOA_A",1,2022,10.0992173179094
"RE1","S102","MINCOA_A",1,2023,10.0992173179094
"RE1","S102","MINCOA_A",1,2024,10.0992173179094
"RE1","S102","MINCOA_A",1,2025,10.0992173179094
"RE1","S102","MINCOA_A",1,2026,9.37454072668799
"RE1","S102","MINCOA_A",1,2027,4.8793124036675
"RE1","S102","MINCOA_A",1,2045,27.699335732963
"RE1","S102","MINCOA_A",1,2046,27.6993357329629
"RE1","S102","MINCOA_A",1,2047,27.6993357329629
"RE1","S102","MINCOA_A",1,2048,27.6993357329629
"RE1","S102","MINCOA_A",1,2049,27.6993357329629
"RE1","S102","MINCOA_A",1,2050,27.699335732963
"RE1","S102","MINOIL_A",1,2015,10.6225389532964
"RE1","S102","MINOIL_A",1,2016,8.68510684740168
"RE1","S102","MINOIL_A",1,2017,12.555956211939
"RE1","S102","MINOIL_A",1,2018,12.1575100027994
"RE1","S102","MINOIL_A",1,2019,11.0756254268376
"RE1","S102","MINOIL_A",1,2020,11.674431482656
"RE1","S102","MINNGS_A",1,2015,2.8718577154873
"RE1","S102","MINNGS_A",1,2016,2.8718577154873
"RE1","S102","MINNGS_A",1,2017,2.69117741739492
"RE1","S102","MINNGS_A",1,2018,2.8718577154873
"RE1","S102","MINNGS_A",1,2019,2.8718577154873
"RE1","S102","MINNGS_A",1,2020,3.77051233233949
"RE1","S102","MINNGS_A",1,2021,9.32903445957292
"RE1","S102","MINNGS_A",1,2022,9.0832532827087
"RE1","S102","MINNGS_A",1,2023,8.61684427428674
"RE1","S102","MINNGS_A",1,2024,7.8422590697738
"RE1","S102","MINNGS_A",1,2025,7.01625523128852
"RE1","S102","MINNGS_A",1,2045,10.48151680674
"RE1","S102","MINNGS_A",1,2046,49.6232938707413
"RE1","S102","MINNGS_A",1,2047,90.2267735813504
"RE1","S102","MINNGS_A",1,2048,134.353067412275
"RE1","S102","MINNGS_A",1,2049,177.757039173674
"RE1","S102","MINNGS_A",1,2050,218.334783271493
"RE1","S102","PWRCOA_A",1,2016,2.28376960576483
"RE1","S102","PWRCOA_A",1,2017,3.18683419358575
"RE1","S102","PWRCOA_A",1,2018,3.74045085848497
"RE1","S102","PWRCOA_A",1,2019,3.74045085848497
"RE1","S102","PWRCOA_A",1,2020,3.74045085848497
"RE1","S102","PWRCOA_A",1,2021,3.74045085848497
"RE1","S102","PWRCOA_A",1,2022,3.74045085848497
"RE1","S102","PWRCOA_A",1,2023,3.74045085848497
"RE1","S102","PWRCOA_A",1,2024,3.74045085848497
"RE1","S102","PWRCOA_A",1,2025,3.74045085848497
"RE1","S102","PWRCOA_A",1,2026,3.47205212099555
"RE1","S102","PWRCOA_A",1,2027,1.80715274209907
"RE1","S102","PWRCOA_A",1,2045,10.2590132344307
